Source,Venue Name,Street Address 1,Suburb,State,Postcode,Full Address,LGA,Metro / Regional,M/OM/R,Tourism Area,Contact Person First Name,Contact Person Surname,Contact Person Email,Contact Person Phone,General Email,General Phone,Website,Role,Venue Capacity,Venue Size,Venue Subdivision (as per APRA),Live,DJ,Venue Category,MV Determined Performance Type,Licence Type,Trading Hours,Frequency of Music Presentation,Presentation Classification,Booker,Sound Engineer,Cover Charge,Artist Payment,As per NSW definitions,As per UK definitions,Grouping,Group Definition,ABN,GST,TAGS,Lat,Long,GLat,GLong,Geocode Latitude,Geocode Longitude
VLMVA,Bobbie Peels,351 Queensberry Street,North Melbourne,VIC,3051.0,351 Queensberry Street North Melbourne VIC 3051 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,enquiries@bobbiepeels.com.au,03 9329 3353,https://www.bobbiepeels.com.au/,Venue,240,Small,,,,Under 500,,Late-Night (General) Licence,Trading to 3am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.80397261,144.9559411,-36.0672663,143.2256304,-36.0672663,143.2256304
VLMVA,Bodriggy Brew Pub,243-245 Johnston Street,Abbotsford,VIC,3067.0,243-245 Johnston Street Abbotsford VIC 3067 ,Yarra City Council,Metro,Metro,Melbourne,,,,,bookings@bodriggy.beer,+61 3 9417 2293,https://www.bodriggy.beer/,Venue,No Data,No Data,Bar,Live,,Under 500,,General Licence,Trading to 1am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.80015875,144.99446,-37.8124234,144.9638295,-37.8124234,144.9638295
VLMVA,Bohjass Restaurant And Wine Bar,276A Wyndham St,Shepparton,VIC,3630.0,276A Wyndham St Shepparton VIC 3630 ,Greater Shepparton City Council,Regional,Regional,Murray,,,,,info@bohjass.com.au,+358 5 84876,https://www.facebook.com/bohjasswinebarandrestaurant/,Venue,150,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-36.37919974,145.3994437,-37.8341011,144.9531057,-37.8341011,144.9531057
APRA,Bojak Brewing,5 Bennet St,Dandenong,VIC,3175.0,5 Bennet St Dandenong VIC 3175 ,Greater Dandenong City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,No Data,No Data,Bar,Live,,Under 500,,Producer's Licence,Producer's Licence,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.985168,145.200094,-38.1104907,147.066325,-38.1104907,147.066325
VLMVA,Bombay Bar,"Tenancy 3-053, Level 3 Emporium Melbourne, Lonsdale Street",Melbourne,VIC,3000.0,"Tenancy 3-053, Level 3 Emporium Melbourne, Lonsdale Street Melbourne VIC 3000 ",Melbourne City Council,Metro,Metro,Melbourne,,,,,contact@bombaybar.com.au,+61 3 8609 8147,https://www.bombaybar.com.au/,Venue,No Data,No Data,,,,Under 500,,On-Premises Licence,Ordinary Trading Hours,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.810038,144.9707225,-37.0204085,145.8969088,-37.0204085,145.8969088
VLMVA,Bond Melbourne,16 Bond Street,Melbourne,VIC,3000.0,16 Bond Street Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,info@bondmelbourne.com.au,+61 3 8199 3734,http://www.bondmelbourne.com.au/,Venue,500,Medium,Night Club,,DJ,500+,,Late-Night (On-Premises) Licence,Trading to 5am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.81817005,144.9629222,-37.8021241,144.9775978,-37.8021241,144.9775978
VLMVA,Bond Street Event Centre,10 Bond St,Sale,VIC,3850.0,10 Bond St Sale VIC 3850 ,Wellington Shire Council,Regional,Regional,Gippsland,,,,,,,,Venue,60,Small,Bar,Live,,Under 500,,On-Premises Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-38.11052485,147.0663612,-37.7618362,145.3473345,-37.7618362,145.3473345
VLMVA,Bonnie Doon Hotel Motel,1905 Maroondah Highway,Bonnie Doon,VIC,3720.0,1905 Maroondah Highway Bonnie Doon VIC 3720 ,Mansfield Shire Council,Regional,Regional,High Country,,,,,info@bonniedoonhotel.com.au,+61 3 5778 7335,https://www.bonniedoonhotel.com.au,Venue,520,Medium,,,,500+,,General Licence,Ordinary Trading Hours,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.02592956,145.8782811,-38.3802413,146.2766929,-38.3802413,146.2766929
VLMVA,Bonny Bar,177 Brunswick Street,Fitzroy,VIC,3065.0,177 Brunswick Street Fitzroy VIC 3065 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,100,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.80213846,144.9775826,-37.8148032,144.9730757,-37.8148032,144.9730757
VLMVA,Boolarra Bowls & Recreation Club,Duke Street,Boolarra,VIC,3870.0,Duke Street Boolarra VIC 3870 ,Latrobe City Council,Regional,Regional,Gippsland,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.377927,146.273053,-37.8103574,144.9655342,-37.8103574,144.9655342
VLMVA,Boolarra Hotel,2760 Monash Way,Boolarra,VIC,3870.0,2760 Monash Way Boolarra VIC 3870 ,Latrobe City Council,Regional,Regional,Gippsland,,,,,,,,Venue,300,Medium,Hotel,Live,,Under 500,,General Licence,Trading to 12 Midnight,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.380107,146.277359,-37.8632469,145.2864685,-37.8632469,145.2864685
GIGS,Boomtown Social Club,9 Walker Street,Castlemaine,VIC,3450.0,9 Walker Street Castlemaine VIC 3450 ,Mount Alexander Shire Council,Regional,Regional,Goldfields,Todd,O'Brien,todd@minddetergent.com.au,,,,,Venue,No Data,No Data,,,,Under 500,,No Data,No Data,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,No,Not required,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,,,-37.8646768,145.2858124,-37.8646768,145.2858124
VLMVA,Booths Karaoke,197 Little Lonsdale Street,Melbourne,VIC,3000.0,197 Little Lonsdale Street Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,hi@boothskaraoke.com.au,+61 3 9688 8046,https://www.boothskaraoke.com.au/,Venue,60,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.81035429,144.9655243,-37.8171056,145.1188928,-37.8171056,145.1188928
VLMVA,Boronia Club Hotel,112 Boronia Road,Boronia,VIC,3155.0,112 Boronia Road Boronia VIC 3155 ,Knox City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,543,Medium,,,,500+,,Late-Night (On-Premises) Licence,Trading 24 hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86293115,145.2862756,-36.7245019,144.3098182,-36.7245019,144.3098182
VLMVA,Boronia Sub Branch Returned Services League,198 Dorset Road,Boronia,VIC,3155.0,198 Dorset Road Boronia VIC 3155 ,Knox City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.86482193,145.2856813,-37.9212162,145.0582851,-37.9212162,145.0582851
VLMVA,Botanical Hotel,169 Domain Road,South Yarra,VIC,3141.0,169 Domain Road South Yarra VIC 3141 ,Stonnington City Council,Metro,Metro,Melbourne,,,,,,,,Venue,400,Medium,,,,Under 500,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.8342303,144.9818309,-37.8493846,144.9912088,-37.8493846,144.9912088
VLMVA,Botanical Hotel Bendigo,555 Napier St,Bendigo,VIC,3550.0,555 Napier St Bendigo VIC 3550 ,Greater Bendigo City Council,Regional,Regional,Goldfields,,,,,,,,Venue,308,Medium,Hotel,Live,,Under 500,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.7245976,144.3098849,-37.812926,144.9685834,-37.812926,144.9685834
VLMVA,Boundary Taverner,726 Centre Road,Bentleigh East,VIC,3165.0,726 Centre Road Bentleigh East VIC 3165 ,Glen Eira City Council,Metro,Metro,Melbourne,,,,,,,,Venue,860,Medium,,,,500+,,Late-Night (General) Licence,Trading 24 hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.92119091,145.0582319,-37.8195644,145.0071607,-37.8195644,145.0071607
VLMVA,Boutique Nightclub,Ground & First Floors 132A-134 Greville Street,Prahran,VIC,3181.0,Ground & First Floors 132A-134 Greville Street Prahran VIC 3181 ,Stonnington City Council,Metro,Metro,Melbourne,Simon,Lennox,simon.lennox@yahoo.com,,simon.lennox@yahoo.com,0418 319 126,https://www.boutiquenightclub.com/,Venue,414,Medium,,,,Under 500,,Late-Night (On-Premises) Licence,Trading to 6am,1 or more a week,Regular presenters: Hosting one gig per week,"Yes, and it is a paid role","Yes, and it is a paid stand alone role",,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,15 631 142 491,Yes,Venues,-37.84939805,144.9913053,-37.839831,145.1220028,-37.839831,145.1220028
VLMVA,Bouvardia Melbourne,Level 2 And Rooftop 169 Bourke St,Melbourne,VIC,3000.0,Level 2 And Rooftop 169 Bourke St Melbourne VIC 3000 ,Melbourne City Council,Metro,Metro,Melbourne,,,,,info@bouvardia.com.ainfo@bouvardia.com.au,,https://bouvardia.com.au/,Venue,150,Small,,,,Under 500,,On-Premises Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.81290517,144.9685421,-38.2702739,144.540447,-38.2702739,144.540447
VLMVA,Bouzy Rouge,470 Bridge Road,Richmond,VIC,3121.0,470 Bridge Road Richmond VIC 3121 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,47,Small,,,,Under 500,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.819603,145.007165,-37.8158889,145.2265681,-37.8158889,145.2265681
VLMVA,Box Hill Golf Club,202 Station Street,Box Hill,VIC,3128.0,202 Station Street Box Hill VIC 3128 ,Whitehorse City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.83969454,145.1220187,-37.8155614,145.1198698,-37.8155614,145.1198698
VLMVA,Box Hill Institute Lilydale,50 Melba Avenue,Lilydale,VIC,3140.0,50 Melba Avenue Lilydale VIC 3140 ,Yarra Ranges Shire Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,785,Medium,,,,500+,,On-Premises Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.76184939,145.3473286,-37.0698333,143.4061487,-37.0698333,143.4061487
VLMVA,Box Hill Institute Box Hill,853 Whitehorse Road,Box Hill,VIC,3128.0,853 Whitehorse Road Box Hill VIC 3128 ,Whitehorse City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,On-Premises Licence,Ordinary Trading Hours,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.81662295,145.1192576,-36.8070156,144.3577227,-36.8070156,144.3577227
VLMVA,Box Hill RSL Sub-Branch,26-30 Nelson Road,Box Hill,VIC,3128.0,26-30 Nelson Road Box Hill VIC 3128 ,Whitehorse City Council,Metro,Metro,Melbourne,,,,,,,,Venue,3542,Large,,,,500+,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.81556144,145.1198698,-37.7913346,144.9748253,-37.7913346,144.9748253
APRA,BPE Vineyard Visitors Centre,656 Vinoca Rd,Avoca,VIC,3467.0,656 Vinoca Rd Avoca VIC 3467 ,Pyrenees Shire Council,Regional,Regional,Goldfields,,,,,,,,Venue,No Data,No Data,Restaurant or Cafe,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.0861,143.4724,-38.2170021,145.0367453,-38.2170021,145.0367453
VLMVA,Braidie's Tavern,948 Wellington Street,Strathfieldsaye,VIC,3551.0,948 Wellington Street Strathfieldsaye VIC 3551 ,Greater Bendigo City Council,Regional,Regional,Goldfields,,,,,https://facebook.com/braidiestavern/,+61 3 5439 4255,https://www.braidiestavern.com.au/,Venue,430,Medium,,,,Under 500,,General Licence,Trading to 1am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.80680704,144.3577041,-37.779589,144.8485432,-37.779589,144.8485432
VLMVA,Brandon Hotel,237 Station Street,Carlton North,VIC,3054.0,237 Station Street Carlton North VIC 3054 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,General Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-37.79147352,144.974786,-38.1811346,144.367359,-38.1811346,144.367359
APRA,Brass Razu Wine Bar,13 Main Street,Mornington,VIC,3931.0,13 Main Street Mornington VIC 3931 ,Mornington Peninsula Shire Council,Regional,Outer Metro,Mornington Peninsula,,,,,,,,Venue,No Data,No Data,Bar,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.2154,145.0386,-37.8951391,145.0764395,-37.8951391,145.0764395
VLMVA,Braybrook Hotel,353 Ballarat Road,Braybrook,VIC,3019.0,353 Ballarat Road Braybrook VIC 3019 ,Maribyrnong City Council,Metro,Metro,Melbourne,,,,,hello@braybrookhotel.com.au,,https://braybrookhotel.com.au/,Venue,680,Medium,,,,500+,,Late-Night (General) Licence,Trading to 3am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.77974392,144.8484491,-37.7365064,144.9691688,-37.7365064,144.9691688
VLMVA,Breakwater Hotel,57 Tucker Street,Breakwater,VIC,3219.0,57 Tucker Street Breakwater VIC 3219 ,Greater Geelong City Council,Regional,Regional,Geelong and the Bellarine,,,,,,+61 3 5221 5587,,Venue,200,Small,Hotel,Live,,Under 500,,General Licence,Ordinary Trading Hours,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.18125251,144.3671724,-38.1455186,145.1173987,-38.1455186,145.1173987
VLMVA,Brew Bar,103 Poath Road,Murrumbeena,VIC,3163.0,103 Poath Road Murrumbeena VIC 3163 ,Glen Eira City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,On-Premises Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.895148,145.076455,-37.9043111,144.6564078,-37.9043111,144.6564078
VLMVA,Brewdog Pentridge,"The Piazza Land And Pentridge Shopping Centre E Division, Pentridge, 1 Champ Street",Coburg,VIC,3058.0,"The Piazza Land And Pentridge Shopping Centre E Division, Pentridge, 1 Champ Street Coburg VIC 3058 ",Merri-Bek City Council,Metro,Metro,Melbourne,,,,,,,,Venue,1185,Large,,,,500+,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.73700489,144.9677381,-37.5588288,143.9971883,-37.5588288,143.9971883
VLMVA,Briagolong Hotel,10 Forbes Street,Briagolong,VIC,3860.0,10 Forbes Street Briagolong VIC 3860 ,Wellington Shire Council,Regional,Regional,Gippsland,,,,,briagalonghotel@hotmail.com,+61 3 5145 5202,https://themiddleofeverywhere.com.au/en/profiles/briagolong-hotel,Venue,328,Medium,Hotel,Live,,Under 500,,General Licence,Trading to 1am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.8442835,147.0722659,-37.0556966,144.2120012,-37.0556966,144.2120012
VLMVA,Bridge Hotel Bungaree,Main Street,Bungaree,VIC,3352.0,Main Street Bungaree VIC 3352 ,Moorabool Shire Council,Regional,Regional,Daylesford and Macedon Ranges,,,,,,,,Venue,250,Medium,,,,Under 500,,General Licence,Trading to 1am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-38.24279259,143.9911867,-37.8202131,145.0134924,-37.8202131,145.0134924
VLMVA,Bridge Hotel Castlemaine,21 Walker Street,Castlemaine,VIC,3450.0,21 Walker Street Castlemaine VIC 3450 ,Mount Alexander Shire Council,Regional,Regional,Goldfields,,,,,info@thebridgehotelcastlemaine.com,+61 3 4406 6730,https://thebridgehotelcastlemaine.com/,Venue,100,Small,Hotel,Live,,Under 500,,General Licence,Trading to 1am,2 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.05569661,144.2120012,-34.1864578,142.1646617,-34.1864578,142.1646617
VLMVA,Bridge Hotel Richmond,642 Bridge Road,Richmond,VIC,3121.0,642 Bridge Road Richmond VIC 3121 ,Yarra City Council,Metro,Metro,Melbourne,,,,,,,,Venue,340,Medium,,,,Under 500,,Late-Night (General) Licence,Trading to 3am,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-37.81893012,145.0027369,-36.5997649,143.9381087,-36.5997649,143.9381087
APRA,Bridge Hotel Werribee,197 Watton Street,Werribee,VIC,3030.0,197 Watton Street Werribee VIC 3030 ,Wyndham City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,No Data,No Data,Hotel,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.9027,144.6605,-37.8435944,144.995148,-37.8435944,144.995148
VLMVA,Bridge Inn Hotel,1425 Plenty Road,Mernda,VIC,3754.0,1425 Plenty Road Mernda VIC 3754 ,Whittlesea City Council,Metro,Outer Metro,Melbourne,,,,,bridgeinnhotel@alhgroup.com.au,+61 3 9037 1800,https://www.thebridgeinnhotel.com.au/,Venue,700,Medium,Hotel,Live,,500+,,Late-Night (General) Licence,Trading to 3am,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.60078179,145.0952373,-36.7264685,146.9618589,-36.7264685,146.9618589
VLMVA,Bridgewater Hotel Loddon River,Calder Highway 2 Main Street,Bridgewater On Loddon,VIC,3516.0,Calder Highway 2 Main Street Bridgewater On Loddon VIC 3516 ,Loddon Shire Council,Regional,Regional,Goldfields,,,,,thebridgewater.hotel@gmail.com,+61 3 5437 3576,https://www.bridgewaterhotelloddonriver.com/,Venue,300,Medium,,,,Under 500,,General Licence,Ordinary Trading Hours,1 or more a week,Regular presenters: Hosting one gig per week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-36.6006296,143.940765,-36.7275972,146.9642101,-36.7275972,146.9642101
VLMVA,Bridie O'Reillys,462 Chapel Street,South Yarra,VIC,3141.0,462 Chapel Street South Yarra VIC 3141 ,Stonnington City Council,Metro,Metro,Melbourne,,,,,assistantsy@nhmbrockwell.com.au,+61 3 9827 7788,https://chapelst.bridieoreillys.com.au/,Venue,550,Medium,Hotel,Live,,500+,,Late-Night (On-Premises) Licence,Trading to 3am,3 or more a week,Dedicated presenters: More than 1 a week,,,,,,,Group B,Group B – Venues hosting 1 or more gig per week,,,Venues,-37.843575,144.994997,-37.8632046,144.9728426,-37.8632046,144.9728426
APRA,Bright Brewery,121 Great Alpine Rd,Bright,VIC,3741.0,121 Great Alpine Rd Bright VIC 3741 ,Alpine Shire Council,Regional,Regional,High Country,,,,,,,,Venue,575,Medium,Bar,Live,,500+,,Producer's Licence,Producer's Licence,No Data,No Data,,,,,,,Group A,Group A – Venues hosting 2 or more gigs per week,,,Venues,-36.7265475,146.961779,-37.9253586,145.0252176,-37.9253586,145.0252176
APRA,Bright Holiday Park,Cherry Lane,Bright,VIC,3741.0,Cherry Lane Bright VIC 3741 ,Alpine Shire Council,Regional,Regional,High Country,,,,,,,,Venue,No Data,No Data,Caravan or Tourist Park,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.7316,146.9611,-37.923379,145.019827,-37.923379,145.019827
VLMVA,Brighton Beach Hotel,4 The Esplanade,Brighton,VIC,3186.0,4 The Esplanade Brighton VIC 3186 ,Bayside City Council,Metro,Metro,Melbourne,,,,,,,,Venue,1165,Large,,,,500+,,Late-Night (General) Licence,Trading 24 hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.9264365,144.9877303,-37.0564416,142.7708859,-37.0564416,142.7708859
VLMVA,Brighton Bowling & Sporting Club,51 Cummins Road,Brighton East,VIC,3187.0,51 Cummins Road Brighton East VIC 3187 ,Bayside City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.906,145.0167,-37.2185406,145.0485054,-37.2185406,145.0485054
VLMVA,Brighton Golf Club,97-99 Glencairn Avenue,Brighton East,VIC,3187.0,97-99 Glencairn Avenue Brighton East VIC 3187 ,Bayside City Council,Metro,Metro,Melbourne,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.923379,145.019827,-37.6908516,144.9080976,-37.6908516,144.9080976
VLMVA,Brix Hotel Stawell,39 Barnes Street,Stawell,VIC,3380.0,39 Barnes Street Stawell VIC 3380 ,Northern Grampians Shire Council,Regional,Regional,Grampians,,,,,,,,Venue,200,Small,,,,Under 500,,General Licence,Trading to 1am,Less than 1 a month,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.05644163,142.7708859,-37.5591328,143.8675051,-37.5591328,143.8675051
VLMVA,Broadford Golf Club,Horwood Road,Broadford,VIC,3658.0,Horwood Road Broadford VIC 3658 ,Mitchell Shire Council,Regional,Regional,Murray,,,,,,,,Venue,No Data,No Data,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.21445773,145.0465602,-38.2212275,145.0458657,-38.2212275,145.0458657
VLMVA,Broadmeadows Sporting Club,111 Sunset Boulevard,Jacana,VIC,3047.0,111 Sunset Boulevard Jacana VIC 3047 ,Hume City Council,Metro,Outer Metro,Melbourne,,,,,,,,Venue,270,Medium,,,,Under 500,,Full Club Licence,Full Club Licence,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.69105401,144.9098564,-36.4537871,146.4296027,-36.4537871,146.4296027
APRA,Bronwyn Blaiklock,608 Chisholm Street,Black Hill,VIC,3350.0,608 Chisholm Street Black Hill VIC 3350 ,Ballarat City Council,Regional,Regional,Goldfields,,,,,,,,Venue,No Data,No Data,Dedicated Live Music Venues,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-37.5558,143.8635,-37.7416116,144.9667765,-37.7416116,144.9667765
VLMVA,Brooklands Of Mornington,93-101 Tanti Avenue,Mornington,VIC,3931.0,93-101 Tanti Avenue Mornington VIC 3931 ,Mornington Peninsula Shire Council,Regional,Outer Metro,Mornington Peninsula,,,,,,,,Venue,758,Medium,,,,500+,,General Licence,Ordinary Trading Hours,Hosts functions,Function presenters: Hosting gigs with indeterminate regularity,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-38.221371,145.045493,-37.7704266,144.9617575,-37.7704266,144.9617575
APRA,Brown Brothers Milawa Vineyard,239 Bobinawarrah Rd,Milawa,VIC,3678.0,239 Bobinawarrah Rd Milawa VIC 3678 ,Wangaratta Rural City Council,Regional,Regional,High Country,,,,,,,,Venue,No Data,No Data,Restaurant or Cafe,Live,,Under 500,,No Data,No Data,No Data,No Data,,,,,,,Group D,Group D – Venues hosting less than 1 gig per month and/or venues with no data around gig frequency,,,Venues,-36.4458,146.4411,-37.7686608,144.9749085,-37.7686608,144.9749085
